,Year,Acousticness,Danceability,Duration_Min,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Popularity,Speechiness,Tempo,Valence
0,1920,0.733,0.339,9.13545,0.192,0.0,0.677,0.0,0.443,-18.959,28.0,0.0424,150.752,0.18
1,1921,0.732,0.8190000000000001,3.0088833333333334,0.341,0.0,0.0,7.0,0.16,-12.441,6.0,0.415,60.93600000000001,0.963
2,1922,0.674,0.645,2.11505,0.445,0.0,0.7440000000000001,0.0,0.151,-13.338,6.0,0.451,104.851,0.127
3,1923,0.996,0.614,2.9522166666666667,0.0423,0.0,0.00293,4.0,0.183,-12.033,41.0,0.0535,89.822,0.211
4,1924,0.816,0.6779999999999999,3.433333333333333,0.395,0.0,0.24,3.0,0.1,-9.825,15.0,0.133,184.446,0.8320000000000001
5,1925,0.969,0.6779999999999999,3.2386666666666666,0.175,0.0,0.00105,3.0,0.177,-13.021,36.0,0.0301,112.941,0.58
6,1926,0.821,0.515,3.9628833333333335,0.222,0.0,0.00193,0.0,0.19,-16.918,47.0,0.0575,98.358,0.35
7,1927,0.99,0.7090000000000001,3.00045,0.208,0.0,0.7959999999999999,0.0,0.0831,-12.245,39.0,0.0828,132.245,0.8190000000000001
8,1928,0.847,0.626,8.668883333333333,0.7440000000000001,0.0,0.892,2.0,0.145,-9.189,50.0,0.0662,113.117,0.259
9,1929,0.586,0.6729999999999999,3.3577833333333333,0.377,0.0,0.0,0.0,0.332,-14.140999999999998,51.0,0.0697,88.973,0.713
10,1930,0.987,0.349,9.026666666666667,0.326,0.0,0.8859999999999999,1.0,0.784,-15.347,47.0,0.0551,80.233,0.168
11,1931,0.957,0.459,2.7824166666666668,0.867,0.0,0.941,7.0,0.129,-17.102,18.0,0.0475,113.188,0.292
12,1932,0.911,0.488,3.2991166666666665,0.14800000000000002,0.0,1.7e-05,0.0,0.0689,-13.97,39.0,0.0491,161.639,0.669
13,1933,0.972,0.504,3.024,0.0644,0.0,4.36e-06,2.0,0.174,-14.754,63.0,0.0408,106.994,0.403
14,1934,0.988,0.612,2.7477833333333335,0.3720000000000001,0.0,3.64e-05,0.0,0.0921,-8.802999999999997,34.0,0.138,201.256,0.895
15,1935,0.908,0.506,3.3017833333333333,0.18,0.0,2.35e-06,0.0,0.0652,-12.184,47.0,0.0443,161.51,0.665
16,1936,0.933,0.583,3.001116666666667,0.235,0.0,3.28e-05,3.0,0.249,-11.151,47.0,0.0431,162.321,0.855
17,1937,0.93,0.675,2.4926666666666666,0.311,0.0,0.000261,9.0,0.102,-11.959,53.0,0.0525,97.159,0.638
18,1938,0.763,0.7170000000000001,2.5898,0.37,0.0,0.0,9.0,0.424,-10.119,39.0,0.0365,99.425,0.8809999999999999
19,1939,0.938,0.271,3.3962166666666667,0.219,0.0,0.00086,0.0,0.263,-9.767,59.0,0.031,74.68,0.375
20,1940,0.68,0.17,4.1128833333333334,0.43,0.0,0.8540000000000001,5.0,0.459,-8.326,32.0,0.0357,121.8,0.171
21,1941,0.945,0.794,3.1762166666666665,0.174,0.0,0.00725,7.0,0.276,-13.544,39.0,0.0388,121.843,0.6559999999999999
22,1942,0.6729999999999999,0.317,2.958,0.158,0.0,0.353,9.0,0.338,-16.485,80.0,0.0381,130.503,0.247
23,1943,0.947,0.204,3.3,0.151,0.0,9.15e-06,2.0,0.321,-17.842,55.0,0.0418,91.783,0.134
24,1944,0.97,0.156,2.70555,0.184,0.0,0.00458,6.0,0.26,-14.82,74.0,0.0393,180.887,0.107
25,1945,0.6459999999999999,0.5,2.9222166666666665,0.224,0.0,0.0,3.0,0.284,-12.431,64.0,0.0935,202.481,0.62
26,1946,0.955,0.163,2.42045,0.183,0.0,0.0881,6.0,0.211,-17.325,53.0,0.0344,80.755,0.104
27,1947,0.799,0.8340000000000001,2.50445,0.371,0.0,0.0,1.0,0.275,-11.99,73.0,0.0358,96.628,0.976
28,1948,0.8640000000000001,0.416,2.056,0.341,0.0,0.0,9.0,0.7240000000000001,-10.749,61.0,0.0391,177.229,0.7759999999999999
29,1949,0.96,0.5549999999999999,3.4134416666666665,0.21289999999999998,0.0,0.4685,5.0,0.14255,-21.240000000000002,68.0,0.08124999999999999,108.14350000000002,0.5940000000000001
30,1950,0.99,0.354,3.2777833333333333,0.0851,0.0,4.49e-06,7.0,0.123,-13.738,56.0,0.0345,97.684,0.197
31,1951,0.907,0.542,3.2306666666666666,0.32,0.0,0.649,8.0,0.0609,-9.975,58.0,0.0387,116.648,0.206
32,1952,0.889,0.354,4.901116666666667,0.241,0.0,0.00027400000000000005,5.0,0.165,-13.811,51.0,0.0334,135.64600000000002,0.408
33,1953,0.8320000000000001,0.853,2.5911166666666667,0.338,0.0,0.00602,7.0,0.135,-9.124,62.0,0.0491,113.881,0.927
34,1954,0.92,0.349,3.19955,0.182,0.0,0.0152,5.0,0.14300000000000002,-13.507,67.0,0.031,136.094,0.17800000000000002
35,1955,0.963,0.581,2.497116666666667,0.0543,0.0,0.00027400000000000005,0.0,0.0968,-14.595,64.0,0.0466,124.185,0.175
36,1956,0.452,0.585,3.7293333333333334,0.247,0.0,8.85e-06,1.0,0.107,-12.612,67.0,0.04,127.15,0.591
37,1957,0.643,0.754,2.1828833333333333,0.424,0.0,0.0,2.0,0.0652,-8.463,85.0,0.0363,119.705,0.8059999999999999
38,1958,0.41,0.647,2.441333333333333,0.5820000000000001,0.0,1.93e-06,10.0,0.0715,-9.538,70.0,0.0755,167.396,0.915
39,1959,0.912,0.451,1.95245,0.24,0.0,2.45e-06,1.0,0.175,-14.014,84.0,0.0351,134.009,0.701
40,1960,0.547,0.274,2.994883333333333,0.348,0.0,0.0133,5.0,0.334,-8.631,75.0,0.0293,87.43,0.328
41,1961,0.941,0.396,3.0393333333333334,0.293,0.0,0.000196,2.0,0.105,-14.062,77.0,0.0275,100.307,0.343
